ID,sex,date_observed_after_tagging,observation,mass,distance,partner_id
W01,f,2019-03-05,1,9.543,NA,
W01,f,2019-03-06,2,10.198,5.6,
W01,f,2019-03-07,3,10.875,2.15,
W01,f,2019-03-08,4,13.004,4.5,
W01,f,2019-03-09,5,13.325,3.7,
W01,f,2019-03-10,6,12.695,4.9,
W01,f,2019-03-11,7,13.244,7.4,
W01,f,2019-03-12,8,13.372,1.1,
W01,f,2019-03-13,9,12.055,5.9,
W01,f,2019-03-14,10,11.22,4.4,
W01,f,2019-03-15,11,10.767,0,
W02,f,2019-03-05,1,23.876,NA,
W02,f,2019-03-06,2,23.48,8.1,W10
W02,f,2019-03-07,3,22.832,16.1,W15
W02,f,2019-03-08,4,22.807,18.8,
W02,f,2019-03-09,5,25.088,8.4,
W02,f,2019-03-10,6,25.084,18.5,
W03,m,2019-03-05,1,10.79,NA,
W03,m,2019-03-06,2,10.29,4.65,W11
W03,m,2019-03-07,3,9.908,0.7,
W03,m,2019-03-08,4,10.05,27,
W03,m,2019-03-09,5,9.778,0.5,
W03,m,2019-03-10,6,9.411,0,
W04,f,2019-03-05,1,20.034,NA,
W04,f,2019-03-06,2,19.44,6,W12
W04,f,2019-03-07,3,18.887,15.2,
W04,f,2019-03-08,4,19.786,13,
W04,f,2019-03-09,5,20.765,5.7,
W04,f,2019-03-10,6,20.635,3.6,
W04,f,2019-03-15,7,20.324,NA,W38
W04,f,2019-03-16,8,20.635,17,
W05,m,2019-03-05,1,9.745,NA,W09
W05,m,2019-03-06,2,10.244,62,
W05,m,2019-03-07,3,9.568,100,
W07,f,2019-03-06,1,18.425,NA,
W08,f,2019-03-06,1,18.45,NA,W13
W08,f,2019-03-07,2,19.533,13.5,
W08,f,2019-03-08,3,19.905,12.5,
W08,f,2019-03-09,4,19.628,2,W58
W08,f,2019-03-10,5,20.613,2.5,
W08,f,2019-03-11,6,20.299,2.2,
W08,f,2019-03-12,7,19.892,1.8,
W08,f,2019-03-13,8,18.569,2.8,
W09,f,2019-03-05,1,22.529,NA,W05
W09,f,2019-03-06,2,23.111,4.2,
W09,f,2019-03-07,3,24.39,3.5,W16
W09,f,2019-03-08,4,24.01,1.4,
W09,f,2019-03-09,5,25.025,4.5,
W09,f,2019-03-10,6,24.018,5.7,
W09,f,2019-03-11,7,21.746,13.5,
W09,f,2019-03-12,8,23.501,5.3,W27
W09,f,2019-03-13,9,22.802,12.4,
W09,f,2019-03-14,10,24.408,20,W25
W09,f,2019-03-15,11,23.105,7,
W10,m,2019-03-06,1,8.878,NA,W02
W10,m,2019-03-07,2,9.545,13.7,
W10,m,2019-03-08,3,9.768,31.9,
W10,m,2019-03-09,4,10.486,22.8,
W10,m,2019-03-10,5,9.528,11.3,W21
W10,m,2019-03-11,6,9.525,9.3,W59
W10,m,2019-03-12,7,9.975,4.5,
W10,m,2019-03-13,8,10.256,7.4,
W11,f,2019-03-06,1,21.472,NA,W03
W11,f,2019-03-07,2,19.642,6.3,W14
W11,f,2019-03-08,3,20.568,15,W17
W11,f,2019-03-09,4,20.82,4.3,
W11,f,2019-03-10,5,20.187,7.8,
W11,f,2019-03-11,6,18.637,5,
W11,f,2019-03-12,7,19.586,3.6,W23
W11,f,2019-03-13,8,19.632,2.6,W30
W11,f,2019-03-15,9,20.255,5.2,
W11,f,2019-03-16,10,18.389,4,W67
W12,m,2019-03-06,1,8.861,NA,W04
W12,m,2019-03-07,2,9.53,44,
W12,m,2019-03-08,3,9.649,5,W54
W12,m,2019-03-09,4,9.581,3.4,
W12,m,2019-03-10,5,9.852,13.4,
W12,m,2019-03-11,6,9.364,30.3,
W13,m,2019-03-07,1,8.592,NA,W08
W13,m,2019-03-08,2,,13,
W13,m,2019-03-09,3,9.243,4.8,
W13,m,2019-03-10,4,10.063,6.6,
W13,m,2019-03-11,5,9.681,4.3,W57
W13,m,2019-03-12,6,9.75,11,W57
W13,m,2019-03-13,7,10.08,2.6,
W14,m,2019-03-07,1,8.577,NA,W11
W14,m,2019-03-08,2,,8.9,
W14,m,2019-03-09,3,10.027,12.6,
W14,m,2019-03-10,4,10.297,8.8,
W14,m,2019-03-11,5,10.18,27.7,W56
W14,m,2019-03-12,6,9.776,16.3,
W14,m,2019-03-13,7,9.266,3.9,
W14,m,2019-03-14,8,9.386,7.7,
W14,m,2019-03-15,9,9.595,20.7,
W14,m,2019-03-16,10,9.3,14.6,
W15,m,2019-03-07,1,8.435,NA,W02
W15,m,2019-03-08,2,10.012,4.4,
W15,m,2019-03-09,3,10.116,7.1,
W15,m,2019-03-10,4,10.453,7.8,
W15,m,2019-03-12,5,10.525,12.8,
W15,m,2019-03-13,6,10.112,12.5,
W16,m,2019-03-07,1,7.256,NA,W09
W17,m,2019-03-08,1,9.425,NA,W11
W17,m,2019-03-09,2,10.426,3.5,W18
W17,m,2019-03-10,3,10.073,19.4,W20
W17,m,2019-03-14,4,,5.4,W33
W18,f,2019-03-09,1,21.01,NA,W17
W18,f,2019-03-10,2,20.923,13.6,
W18,f,2019-03-11,3,20.496,14.4,
W18,f,2019-03-12,4,20.705,8,
W18,f,2019-03-13,5,20.736,9.3,
W18,f,2019-03-14,6,20.532,6.1,W32
W18,f,2019-03-15,7,21.2,7.7,W39
W18,f,2019-03-16,8,9.181,21.6,
W20,f,2019-03-10,1,16.864,NA,W17
W20,f,2019-03-11,2,18.087,13,W22
W20,f,2019-03-12,3,18.946,3.8,
W20,f,2019-03-13,4,18.866,6.6,
W20,f,2019-03-14,5,18.179,7.3,W26
W20,f,2019-03-15,6,18.154,6.4,
W21,f,2019-03-10,1,17.493,NA,W10
W21,f,2019-03-11,2,16.73,9.3,W61
W21,f,2019-03-12,3,17.325,25,
W21,f,2019-03-13,4,16.579,58,
W21,f,2019-03-16,5,16.145,NA,W70
W21,f,2019-03-17,6,16.173,8.6,
W21,f,2019-03-18,7,16.926,5,W74
W24,m,2019-03-14,1,10.826,NA,W55
W24,m,2019-03-15,2,10.894,8.7,W35
W24,m,2019-03-16,3,11.083,15.8,W69
W24,m,2019-03-17,4,11.038,18.8,
W24,m,2019-03-18,5,11.704,11.7,
W24,m,2019-03-19,6,12.225,11.8,
W25,m,2019-03-14,1,10.938,NA,W09
W25,m,2019-03-15,2,10.675,7.5,
W25,m,2019-03-16,3,10.152,7.8,
W25,m,2019-03-17,4,10.56,38,
W25,m,2019-03-18,5,9.793,7.5,
W26,m,2019-03-14,1,8.078,NA,W20
W26,m,2019-03-15,2,8.598,10.8,W66
W26,m,2019-03-16,3,9.055,22.3,
W26,m,2019-03-17,4,8.397,9.2,W73
W30,m,2019-03-13,1,9.182,NA,W11
W30,m,2019-03-14,2,10.117,74,
W30,m,2019-03-15,3,9.695,8.7,
W30,m,2019-03-16,4,9.832,6.8,W68
W30,m,2019-03-17,5,9.826,15.4,W72
W30,m,2019-03-18,6,10.179,14.2,
W32,m,2019-03-14,1,5.922,NA,W18
W32,m,2019-03-15,2,6.952,14.3,
W32,m,2019-03-17,3,6.179,22.7,W33
W32,m,2019-03-18,4,6.736,22.5,
W32,m,2019-03-19,5,6.866,12.4,
W32,m,2019-03-20,6,6.822,6.7,
W32,m,2019-03-21,7,5.943,7.8,
W33,f,2019-03-14,1,21.246,NA,W17
W33,f,2019-03-16,2,19.891,2,
W33,f,2019-03-17,3,21.468,3.5,W32
W33,f,2019-03-18,4,22.931,5,
W33,f,2019-03-19,5,22.442,3,W97
W33,f,2019-03-20,6,22.06,6.7,W78
W33,f,2019-03-21,7,21.769,1.3,W79
W33,f,2019-03-22,8,22.882,4.5,
W34,m,2019-03-15,1,9.474,NA,W54
W35,f,2019-03-15,1,20.011,NA,W24
W37,f,2019-03-15,1,22.391,NA,
W37,f,2019-03-16,2,21.562,5.8,
W37,f,2019-03-17,3,21.796,9.1,
W37,f,2019-03-18,4,21.849,5.7,
W37,f,2019-03-19,5,22.492,8.7,
W37,f,2019-03-20,6,21.763,5.2,
W38,m,2019-03-15,1,8.798,NA,W04
W39,m,2019-03-15,1,8.579,NA,W18
W39,m,2019-03-16,2,8.648,21,
W39,m,2019-03-17,3,8.717,7.7,
W39,m,2019-03-18,4,9.7,8,
W39,m,2019-03-19,5,9.612,14.1,
W39,m,2019-03-20,6,9.725,5.3,
W54,f,2019-03-08,1,22.544,NA,W12
W54,f,2019-03-09,2,23.562,4.8,
W54,f,2019-03-10,3,22.923,0.3,
W54,f,2019-03-11,4,21.626,1.6,
W54,f,2019-03-12,5,23.787,3.5,
W54,f,2019-03-13,6,22.747,3.8,
W54,f,2019-03-14,7,22.523,5.4,
W54,f,2019-03-15,8,22.774,3.6,W34
W54,f,2019-03-16,9,23.096,4.5,
W55,f,2019-03-10,1,17.793,NA,
W55,f,2019-03-12,2,18.259,13.5,
W55,f,2019-03-13,3,18.189,14.6,
W55,f,2019-03-14,4,19.366,6.4,W24
W55,f,2019-03-15,5,18.119,6,
W55,f,2019-03-16,6,16.923,18.3,
W55,f,2019-03-17,7,15.884,3.6,
W57,f,2019-03-11,1,24.455,NA,W13
W57,f,2019-03-12,2,22.208,11,W13
W58,m,2019-03-09,1,8.823,NA,W08
W58,m,2019-03-10,2,9.371,2.5,
W58,m,2019-03-11,3,9.081,17.8,
W58,m,2019-03-18,4,8.493,14.4,
W58,m,2019-03-19,5,8.439,5,
W58,m,2019-03-20,6,8.585,2,W77
W59,f,2019-03-11,1,22.847,NA,W10
W61,m,2019-03-11,1,9.793,NA,W21
W66,f,2019-03-15,1,20.011,NA,W26
W67,m,2019-03-16,1,8.951,NA,W11
W67,m,2019-03-17,2,9.738,19,
W67,m,2019-03-18,3,9.983,17.7,
W67,m,2019-03-19,4,10.255,14.8,
W67,m,2019-03-20,5,10.075,4.1,W76
W67,m,2019-03-21,6,10.129,14,
W68,f,2019-03-16,1,17.311,NA,W30
W69,f,2019-03-16,1,19.927,NA,W24
W70,m,2019-03-16,1,7.838,NA,W21
W72,f,2019-03-17,1,24.298,NA,W30
W72,f,2019-03-18,2,25.174,1,
W72,f,2019-03-19,3,25.412,1,
