sex,mass,pronotum
m,9.50,11.20
f,11.30,12.75
m,10.04,11.53
f,22.10,13.64
f,17.87,13.06
f,19.31,12.48
f,21.83,13.13
m,7.80,10.28
m,10.78,11.58
f,18.59,12.40
m,12.20,11.71
f,18.72,12.38
f,21.08,13.21
f,18.02,11.91
f,21.17,12.46
m,11.90,10.92
m,11.72,11.79
m,11.26,12.14
m,9.07,10.63
f,26.50,13.70
f,19.04,12.35
m,10.77,11.50
f,24.14,13.05
m,7.18,10.38
f,20.92,12.25
m,9.46,11.09
f,20.15,12.52
m,10.83,12.03
f,14.26,11.63
m,10.76,11.72
m,8.41,10.29
f,18.28,11.96
m,10.42,11.21
m,7.72,10.92
m,6.57,10.32
m,9.84,11.65
f,17.68,12.52
f,22.04,13.07
m,9.59,10.86
m,8.38,10.80
m,9.99,12.01
f,23.77,13.04
m,9.76,10.59
m,9.20,11.33
f,18.10,11.89
f,12.30,12.28
m,8.20,10.12
m,10.49,10.91
f,15.55,11.37
m,10.31,12.17
f,15.98,11.22
m,8.73,10.32
m,8.62,10.79
m,9.79,10.85
m,7.81,10.83
f,20.71,13.33
m,10.72,11.05
f,21.71,12.48
f,22.70,13.27
m,9.34,11.36
f,16.84,11.85
m,9.86,11.00
m,8.78,11.11
m,10.21,11.25
m,8.20,10.37
m,8.57,11.07
f,20.06,12.07
f,15.61,11.51
m,10.09,11.07
m,7.94,10.59
f,20.95,12.44
m,10.42,11.14
f,22.60,13.02
f,14.92,11.07
m,9.25,10.67
f,15.86,12.21
f,21.87,12.57
f,24.00,13.91
m,10.16,11.27
m,9.69,11.67
m,10.70,10.57
f,25.09,12.87
m,9.43,10.77
f,16.99,12.18
f,20.97,12.80
m,9.60,11.00
f,18.10,11.50
f,19.69,12.55
m,11.24,11.80
m,9.28,10.91
m,11.3,11.75
m,10.04,11.34
m,7.93,9.99
m,8.91,10.57
m,9.25,10.36
m,10.96,11.47
m,11.93,12.25
m,9.02,10.57
m,11.09,11.3
m,10.33,11.38
m,8.44,10.72
m,8.19,10.24
m,9.3,10.48
m,9.18,11.49
m,12.48,11.93
m,10.69,10.81
m,9.46,10.8
m,9.74,10.68
m,8.44,10.43
m,9.58,10.57
m,9.61,11.32
m,7.69,10.64
m,7.25,9.86
m,7.43,11.06
m,8.84,11.08
m,8.31,10.27
m,8.29,10.85
m,11.31,10.77
m,7.46,9.9
m,8.84,10.72
m,9.17,11.36
m,10.92,11.37
m,8.84,10.44
m,10.14,11.49
m,10.85,11.43
m,10.21,10.87
m,8.88,9.55
m,9.37,11.03
f,22.5,12.68
f,23.25,13.14
f,17.95,12.24
f,23.34,12.52
f,19.26,12.46
f,18.74,12.52
f,24.48,12.89
f,20.08,12.83
f,15.39,11.89
f,18.28,12.47
f,19.39,12.38
f,15.49,11.61
f,24.51,13.1
f,26.03,13.69
f,22.08,12.65
f,18.54,13.61
f,22.95,12.88
f,21.38,13.05
f,16.54,12.64
f,15.96,12.78
f,24.62,12.86
f,14.57,12.25
f,18.71,12.79
f,14.87,12.7
f,20.51,12.62
f,15.35,11.45
f,18.36,12.42
f,19.79,12.69
f,19.47,13.08
f,21.63,12.82
f,19.33,12.47
f,21.07,12.16
f,17.26,13.71
f,16.12,12.11
f,20.51,12.91
f,17.67,12.44
f,13.19,11.28
f,20.77,12.6
m,9.11,10.86
m,9.09,10.08
m,11.77,10.98
m,8.7,10.68
m,10.15,10.4
m,5.74,10.18
m,8.99,10.58
m,8.84,10.63
